Name,sma_pfast,sma_pslow,Return,MaxDrawDown,TotalTrades#,WinTrades#,LossTrades#,WinRatio,AverageWin$,AverageLoss$,LongestWinStreak,LongestLossStreak,AverageWinLossRatio,RankReturn,RankMaxDrawDown,RankWinRatio,RankAverageWinLossRatio,Score
DoubleSMACross,10,81,0.21,21.48,20,8,12,0.4,633.1191,-219.3525,3,4,2.8863,65.5,74.0,93.5,58.0,72.75
DoubleSMACross,10,82,0.2,22.24,19,7,12,0.3684,708.5336,-219.9416,3,6,3.2215,74.0,78.0,138.0,36.0,81.5
DoubleSMACross,10,83,0.19,23.56,17,7,10,0.4118,690.9461,-266.4682,3,6,2.593,81.0,99.5,74.5,107.0,90.5
DoubleSMACross,10,84,0.25,19.21,17,8,9,0.4706,628.0522,-232.1904,3,4,2.7049,43.5,60.0,20.5,84.0,52.0
DoubleSMACross,10,85,0.28,14.92,16,8,8,0.5,627.8301,-204.67,4,4,3.0675,21.0,11.0,13.5,40.0,21.375
DoubleSMACross,10,86,0.28,15.44,16,8,8,0.5,629.1141,-211.438,4,4,2.9754,21.0,16.0,13.5,48.0,24.625
DoubleSMACross,10,87,0.3,15.06,14,8,6,0.5714,649.3372,-243.7105,4,4,2.6644,9.0,12.0,4.0,93.0,29.5
DoubleSMACross,10,88,0.31,14.52,14,8,6,0.5714,660.1705,-246.2234,4,4,2.6812,4.0,4.5,4.0,91.0,25.875
DoubleSMACross,10,89,0.29,14.52,14,8,6,0.5714,630.5285,-243.3677,4,4,2.5908,14.5,4.5,4.0,108.0,32.75
DoubleSMACross,10,90,0.34,13.04,13,8,5,0.6154,688.1629,-280.6239,4,3,2.4523,1.0,1.0,1.0,133.0,34.0
